Date,Beras Cap Anak Daro,Beras Cap Pandan Wangi,Beras Cap Belida,Beras Cap Mundam,Beras Cap Bulog/Dolog,Beras Cap Sokan,Beras Cap Anak Daro Payakumbuh,Beras Cap Anak Daro Solok,Beras Cap Topi Koki,Gula Pasir Kristal Putih plastik (1 kg) Lain- lain,Minyak Goreng Curah Plastik (1 lt)  Tanpa Merek,Minyak Goreng Kemasan Premium (1 lt),Minyak Goreng Kemasan Sederhana (1 lt),Minyak Goreng Kemasan Plastik (1 lt)  Bimoli Kl,Minyak Goreng MINYAKITA (1 lt),Daging Sapi Lokal Daging Paha depan (chuck) (1,Daging Sapi Lokal Paha Belakang (1 Kg),Daging Sapi Lokal Daging Has luar (Sirloin) (1,Daging Sapi Lokal Daging Sandung lamur (Brisket,Daging Sapi Lokal Daging tetelan (1 kg),Daging Sapi Lokal Daging Has Dalam (Tenderloin) (1 Kg),Daging Ayam Broiler/Ras utuh 1 Kg,Daging Ayam Kampung utuh 1 Kg,Telur Ayam Negeri 1 kg,Telur Ayam Kampung 1 kg,Susukental ManisLokalFrisian FlagFrisian Flag,Susukental ManisLokalIndomilkIndomilk plain38,Jagung Lokal 1 kg Pipilan,Tepung Terigu Eceran (1 kg) Protein Ti,Tepung Terigu Eceran (1 kg) Protein Sedang,Kedelai kuning plastik (1 kg) Import,Tempe bungkus (1 kg),Tahu mentah putih kg,Cabe Merah Keriting 1 Kg,Cabe Rawit Hijau 1 Kg,Bawang Merah Lokal 1 Kg,Bawang Putih Impor Honan 1 Kg,Ikan Laut Kembung 1 Kg,Ikan Laut Teri 1 Kg,Ikan Laut Tongkol 1 Kg,Ikan Laut Tuna 1 Kg,Ikan Payau Bandeng 1 Kg,Ikan Laut Cakalang 1 Kg,Garam Halus Yodium 1 kg,Mie Instan Indofood Indomie Kuah Kari Ayam 1 bks,Kacang-Kacangan Kacang Tanah 1 kg,Kacang-Kacangan Kacang Hijau 1 kg,Ketela Pohon Manis Mentega 1 kg,Pisang Ambon kg,Jeruk lokal kg,Udang basah ukuran sedang kg
6/25/2023,14625,14500,12000,13000,9800,13000,13750,,12000,13000,12000,13000,11750,,,120000,120000,120000,120000,45000,120000,28750,39500,25600,32500,10000,10000,6000,8000,7000,24000,,,34500,33750,31500,34000,87000,120000,35000,,30000,10000,5250,14750,23500,11500,,,,
6/26/2023,14625,14500,12000,13000,9800,13000,13800,,12000,13275,12300,13000,11650,,,120000,120000,120000,120000,45000,120000,28900,39500,25600,27000,10000,10000,6000,8000,7000,25100,,,37800,36000,32300,34000,86500,120000,35000,,31000,10000,5250,13550,23000,11500,,,,
6/27/2023,14625,14500,12000,13000,9800,13000,14000,,12000,14000,13250,13000,11500,,,120000,120000,120000,120000,45000,120000,28400,39500,25600,27000,10000,10000,6000,8000,7000,24100,,,36000,34300,33600,34400,86500,120000,35000,,30000,10000,5250,13250,23200,11500,,,,
6/28/2023,14625,14500,12000,13000,9800,12600,14000,,12000,14000,13250,13050,11500,,,120000,120000,120000,120000,45000,120000,28000,39500,25600,27000,10000,10000,6000,8000,7000,23100,,,34300,34500,34100,35000,86100,120000,35000,,31000,10000,5250,13250,23000,11500,,,,
6/29/2023,14625,14500,12000,13000,9800,13000,14000,,12000,14000,13250,13000,11500,,,120000,120000,120000,120000,45000,120000,27000,39500,25600,28100,10050,10050,6000,8000,7000,22400,,,35600,34200,32200,35600,87500,120000,35000,,31000,10000,5250,13250,23000,11500,,,,
6/30/2023,14617,14500,11833,12833,9800,12650,13833,,11833,14000,13133,13067,11333,,,120000,120000,120000,120000,46667,120000,26000,44667,24300,32667,10000,10000,6500,8667,7500,19533,,,37400,33467,35667,44333,69867,120000,29400,35000,30000,20000,6167,9667,21333,14000,2500,,,
7/1/2023,14583,14500,11833,12833,9800,12650,13833,,11833,14000,13000,13000,11333,,,120000,120000,120000,120000,45333,120000,26333,44667,23660,34133,10000,10000,6500,8667,7500,19667,,,37467,31600,35267,43800,69333,120500,30000,35000,30000,20000,6167,9667,21333,14000,2500,,,
7/2/2023,14583,14500,11833,12833,9720,12650,13833,,11833,14067,12967,13000,11333,,,120000,120000,120000,120000,43333,120000,26000,44667,23500,31333,10000,10000,6500,8667,7500,19933,,,39733,34267,31800,38067,68933,122500,30000,35000,30000,20000,6167,9667,21333,14000,2500,,,
7/3/2023,14583,14500,11833,12833,9720,12750,13833,,11833,14200,13000,13000,11333,,,120000,120000,120000,120000,43333,120000,25867,44667,23600,32667,10000,10000,6500,8667,7500,22067,,,44267,34733,30600,36667,68867,122500,30000,35000,30000,20000,6167,9667,21333,14267,2500,,,
7/4/2023,14583,14500,11833,12833,9700,12750,13833,,11833,14533,12833,13000,11367,,,120000,120000,120000,120000,43333,120000,25333,44667,23500,32667,10000,10000,6500,8667,7700,19400,,,36333,33400,30333,36667,68333,122000,30000,35100,30000,20667,6167,9667,21467,14000,2500,,,
